Date,Stocks,Anomalies,Anomaly_Breadth,Negative_Anomalies,Positive_Anomalies
2018-07-23,47,1,0.02127659574468085,0,1
2018-07-24,47,0,0.0,0,0
2018-07-25,47,0,0.0,0,0
2018-07-26,47,0,0.0,0,0
2018-07-27,47,0,0.0,0,0
2018-07-30,47,0,0.0,0,0
2018-07-31,47,0,0.0,0,0
2018-08-01,47,0,0.0,0,0
2018-08-02,47,0,0.0,0,0
2018-08-03,47,0,0.0,0,0
2018-08-06,47,0,0.0,0,0
2018-08-07,47,0,0.0,0,0
2018-08-08,47,0,0.0,0,0
2018-08-09,47,0,0.0,0,0
2018-08-10,47,0,0.0,0,0
2018-08-13,47,0,0.0,0,0
2018-08-14,47,1,0.02127659574468085,0,1
2018-08-16,47,0,0.0,0,0
2018-08-17,47,0,0.0,0,0
2018-08-20,47,0,0.0,0,0
2018-08-21,47,0,0.0,0,0
2018-08-23,47,0,0.0,0,0
2018-08-24,47,0,0.0,0,0
2018-08-27,47,0,0.0,0,0
2018-08-28,47,0,0.0,0,0
2018-08-29,47,1,0.02127659574468085,0,1
2018-08-30,47,0,0.0,0,0
2018-08-31,47,0,0.0,0,0
2018-09-03,47,1,0.02127659574468085,0,1
2018-09-04,47,0,0.0,0,0
2018-09-05,47,0,0.0,0,0
2018-09-06,47,1,0.02127659574468085,1,0
2018-09-07,47,0,0.0,0,0
2018-09-10,47,0,0.0,0,0
2018-09-11,47,0,0.0,0,0
2018-09-12,47,0,0.0,0,0
2018-09-14,47,0,0.0,0,0
2018-09-17,47,0,0.0,0,0
2018-09-18,47,0,0.0,0,0
2018-09-19,47,0,0.0,0,0
2018-09-21,47,0,0.0,0,0
2018-09-24,47,0,0.0,0,0
2018-09-25,47,0,0.0,0,0
2018-09-26,47,0,0.0,0,0
2018-09-27,47,0,0.0,0,0
2018-09-28,47,0,0.0,0,0
2018-10-01,47,0,0.0,0,0
2018-10-03,47,0,0.0,0,0
2018-10-04,47,0,0.0,0,0
2018-10-05,47,3,0.06382978723404255,3,0
2018-10-08,47,0,0.0,0,0
2018-10-09,47,0,0.0,0,0
2018-10-10,47,0,0.0,0,0
2018-10-11,47,0,0.0,0,0
2018-10-12,47,0,0.0,0,0
2018-10-15,47,0,0.0,0,0
2018-10-16,47,0,0.0,0,0
2018-10-17,47,0,0.0,0,0
2018-10-19,47,0,0.0,0,0
2018-10-22,47,0,0.0,0,0
2018-10-23,47,0,0.0,0,0
2018-10-24,47,0,0.0,0,0
2018-10-25,47,1,0.02127659574468085,1,0
2018-10-26,47,0,0.0,0,0
2018-10-29,47,0,0.0,0,0
2018-10-30,47,0,0.0,0,0
2018-10-31,47,0,0.0,0,0
2018-11-01,47,0,0.0,0,0
2018-11-02,47,0,0.0,0,0
2018-11-05,47,1,0.02127659574468085,1,0
2018-11-06,47,1,0.02127659574468085,1,0
2018-11-07,47,0,0.0,0,0
2018-11-09,47,0,0.0,0,0
2018-11-12,47,0,0.0,0,0
2018-11-13,47,0,0.0,0,0
2018-11-14,47,1,0.02127659574468085,1,0
2018-11-15,47,0,0.0,0,0
2018-11-16,47,0,0.0,0,0
2018-11-19,47,0,0.0,0,0
2018-11-20,47,0,0.0,0,0
2018-11-21,47,0,0.0,0,0
2018-11-22,47,0,0.0,0,0
2018-11-26,47,0,0.0,0,0
2018-11-27,47,0,0.0,0,0
2018-11-28,47,0,0.0,0,0
2018-11-29,47,0,0.0,0,0
2018-11-30,47,0,0.0,0,0
